name_shows,platform,language,type,with,number_seasons,total_units,start_date,end_date,time_taken,unitspday
Bulbbul,Netflix,Hindi,Movie,MaBapi,,1,45566,45566,1,1
The Devil Wears Prada,HBOMax,English,Movie,Myself,,1,45572,45572,1,1
Poster Boys,Netflix,Hindi,Movie,MaBapi,,1,45572,45572,1,1
CTRL,Netflix,Hindi,Movie,Myself,,1,45572,45573,2,0.5
Tim Burton's Corpse Bride,HBOMax,English,Movie,Myself,,1,45574,45575,2,0.5
Piku,Downloaded,Hindi,Movie,Myself,,1,45575,45575,1,1
Khel Khel Mein,Netflix,Hindi,Movie,Myself,,1,45576,45576,1,1
Room,Netflix,English,Movie,Myself,,1,45580,45580,1,1
Qala,Netflix,Hindi,Movie,Myself,,1,45580,45580,1,1
The Newsroom,HBOMax,English,Series,Myself,3,25,45583,45603,21,1.19047619
Young Sheldon,HBOMax,English,Series,Myself,Season 7,14,45585,45589,5,2.8
Young Sheldon,Netflix,English,Series,Myself,Season 6,22,45586,45588,3,7.333333333
Do Patti,Netflix,Hindi,Movie,Myself,,1,45590,45590,1,1
Zindagi Na Milegi Dobara,Netflix,Hindi,Movie,Myself,,1,45591,45591,1,1
Dil Dhadakne Do,Netflix,Hindi,Movie,Myself,,1,45592,45592,1,1
Hasan Minhaj: Off With his Head,Netflix,English,Special,Myself,,1,45592,45593,2,0.5
The Fabuluos Lives of Bollywood Wives,Netflix,Hindi,Movie,Myself,Season 3,8,45594,45596,3,2.666666667
Woman of the Hour,Netflix,English,Movie,Myself,,1,45598,45598,1,1
Inside Out 2,Downloaded,English,Movie,Friends,,1,45601,45601,1,1
Mom,Netflix,Hindi,Movie,Myself,,1,45603,45603,1,1
The Buckingham Murders,Netflix,English,Movie,Myself,,1,45605,45605,1,1
Munjya,Hulu,Hindi,Movie,Myself,,1,45613,45613,1,1
Only Murders in the Building,Hulu,English,Series,Myself,Season 4,10,45613,45615,3,3.333333333
How I met your Father,Disney Plus,English,Series,Myself,2,30,45616,45620,5,6
Devara,Netflix,Hindi,Movie,Myself,,1,45622,45622,1,1
AP Bio,Netflix,English,Series,Myself,4,42,45626,45628,3,14
Kabhi Alvida Na Kehna,Netflix,Hindi,Movie,Myself,,1,45628,45629,2,0.5
Bad Newz,Prime,Hindi,Movie,Myself,,1,45629,45629,1,1
The Pradeeps of Pittsburgh,Prime,English,Series,Myself,1,8,45630,45631,2,4
Stree 2,Prime,English,Movie,Myself,,1,45630,45630,1,1
Call Me Bae,Prime,Hindi,Series,Myself,1,8,45631,45632,2,4
Vicky Vidya Ka wo wala Video,Netflix,Hindi,Movie,Myself,,1,45633,45633,1,1
Our Little Secret,Netflix,English,Movie,Myself,,1,45633,45633,1,1
Jigra,Netflix,Hindi,Movie,Myself,,1,45636,45636,1,1
Gifted,Netflix,English,Movie,Myself,,1,45640,45640,1,1
The Mummy,Netflix,English,Movie,Putku,,1,45640,45640,1,1
Mirzapur,Prime,Hindi,Series,Myself,Season 2-3,20,45642,45646,5,4
The Marvelous Mrs. Maisel,Prime,English,Series,Myself,4,34,45646,45656,11,3.090909091
Singham Again,Prime,Hindi,Movie,Putku,,1,45654,45654,1,1
Bhool Bhulaiya 3,Netflix,Hindi,Movie,Myself,,1,45657,45657,1,1
Zara Hatke Zara Bachke,Flight,Hindi,Movie,Myself,,1,45657,45657,1,1
